1616130092318|14|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|UPDATE zy_user SET deleted=1 WHERE id=?  AND deleted=0|UPDATE zy_user SET deleted=1 WHERE id=1  AND deleted=0
1616130136692|16|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|UPDATE zy_user SET deleted=1 WHERE id=?  AND deleted=0|UPDATE zy_user SET deleted=1 WHERE id=1  AND deleted=0
1616130165252|14|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|INSERT INTO zy_user  ( name, age, email )  VALUES  ( ?, ?, ? )|INSERT INTO zy_user  ( name, age, email )  VALUES  ( '阿苗', 20, '7458678@qq.com' )
1616223015577|59|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
1616415822532|23|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
1616426722027|22|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
1616426722070|1|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616427795907|18|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
1616427795938|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616428771099|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616428933278|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429010508|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429577010|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429621453|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429650241|25|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'
1616429650270|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT ?|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT 2
1616429650281|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429668027|11|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'
1616429668060|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT ?|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT 2
1616429668070|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429683486|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429713919|9|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'
1616429713946|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT ?|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT 2
1616429713957|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429746465|10|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'
1616429746492|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT ?|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT 2
1616429746508|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616429835025|12|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'|SELECT COUNT(*) FROM user WHERE name LIKE '%阿%'
1616429835052|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT ?|select id,name,email,create_time,update_time from user where name like '%阿%' LIMIT 2
1616429835063|0|rollback|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC||
1616944604757|23|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
1616944656799|28|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
1616944707927|8|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/mybatis_plus?useUnicode=true&useSSL=false&characterEncoding=utf8&serverTimezone=PRC|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=?  AND deleted=0|SELECT id,name,age,email,create_time,update_time,version,deleted FROM zy_user WHERE id=1  AND deleted=0
